EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.00037378557557464596,0.0,0.0,0.0,0610038B21Rik
0.0,0.0022762272360111442,0.00456896171756399,0.009872117870833334,0.0038302278204370935,1110006O24Rik
0.018002819273291927,0.006512553170304156,0.005383386934686672,0.0,0.009987649544004724,1110008L16Rik
0.10670565329192547,0.05071906542210354,0.06179855929567518,0.7116751732100004,0.052299883373301825,1110017D15Rik
0.03688269895031056,0.007401479503830973,0.003752808346866726,0.01734394940833333,0.025048688099822806,1110020A21Rik
0.017114368621118013,0.0022741782516833065,0.0019590272894969107,0.0,0.0029591925109273476,1600014C23Rik
0.0,0.01419846983979568,0.019169167074139452,0.0785970173975,0.006184966662138216,1700001L19Rik
0.0,0.0006734044409101463,0.002132637372462489,0.0021322460941666666,0.0,1700003M07Rik
0.0,0.00023619300847457626,0.0,0.0,0.0,1700006F04Rik
0.0,0.0015587776581146972,0.0022013444880847307,0.007795074791666667,0.0007608647471943296,1700007G11Rik
0.0,0.0002601656855119573,0.0004938199082082965,0.0,0.0,1700007K09Rik
0.0,0.003782795019967495,0.005355040178287731,0.018599678119166668,0.005837303692852924,1700007L15Rik
0.016765966316770187,0.004305542307870908,0.0,0.0033810653041666666,0.0023533071766095688,1700011I03Rik
0.01624544133540373,0.04037034868551196,0.042308099712268316,0.8144791955700004,0.031753806012994684,1700012B09Rik
0.0,0.00023754511469700485,0.0,0.0023723921766666666,0.001002660565859421,1700013F07Rik
0.0,0.0023450460313443233,0.002395129767872904,0.0,0.0064747657040756055,1700015F17Rik
0.0,0.005479249314255864,0.004492196751985878,0.17011729933916672,0.01019118023922032,1700016K19Rik
0.0,0.004796103402019966,0.01860898676345984,0.00711393149,0.010935419569994092,1700017B05Rik
0.0,0.000246715468887857,0.0,0.0,0.0,1700018A04Rik
0.042732977335403724,0.0360996331674019,0.05956524738481906,0.010110692146666666,0.10055109154813939,1700019D03Rik
0.02757855995031056,0.004590540565242628,0.020084095435127982,0.003283257886666667,0.00533749648730065,1700019G17Rik
0.0,0.00023142512920826562,0.0,0.0,0.0010834272693443592,1700019G24Rik
0.0,0.001117799424425354,0.0,0.0,0.0040871691080921445,1700020D05Rik
0.0,0.0,0.0,0.0,0.001096953471943296,1700021N21Rik
0.0,0.0,0.0,0.0014686453308333334,0.0,1700024G13Rik
0.0,0.006677688252379847,0.004438724343336275,0.002304267023333333,0.014599639643236857,1700028K03Rik
0.0,0.0037507870989087525,0.0024198845392762575,0.02150995541,0.0025435042516243353,1700028P14Rik
0.0,0.0002534394506617135,0.0016513296654898499,0.0,0.0007982339438865918,1700034I23Rik
0.0,0.000866175152658463,0.0,0.0017737173225,0.0028286723331364446,1700034P13Rik
0.04839827562111801,0.025941671938588342,0.045166843427184473,0.0023996467208333336,0.06321948725871235,1700037H04Rik
0.0,0.0008278435224053866,0.0010600250070609003,0.0075273831975,0.004455940696396929,1700040L02Rik
0.0,0.0002569943610401672,0.0,0.0,0.0,1700067K01Rik
0.0,0.0031848874602971905,0.0021334580706090026,0.0,0.001512638755463674,1700080N15Rik
0.0,0.0017471847351985142,0.006030018833186231,0.008219016906666666,0.005305173074424099,1700084E18Rik
0.0,0.025814564034594836,0.014522934183583408,0.009914214738333333,0.05591050696101594,1700086L19Rik
0.0,0.006095371719410264,0.004288098918799647,0.11241603048416664,0.005205495089781453,1700097N02Rik
0.009486980130434782,0.003956393629788715,0.00250864506266549,0.0,0.005893677622563496,1700102P08Rik
0.0,0.004781652299164152,0.0,0.0,0.0035029041305375073,1700105P06Rik
0.0,0.0,0.0,0.0,0.0007853187170702894,1700110C19Rik
0.0,0.00454928167622475,0.0013624897025595762,0.0019751502383333333,0.0006786154471352628,1810011O10Rik
0.0,0.0,0.0017781109858781997,0.0,0.0,1810020O05Rik
0.0,0.00026130592837241695,0.0,0.0,0.0015036033030124039,1810034E14Rik
0.0,0.02133290206001858,0.046921771075022066,0.007538553510833334,0.013551499822799764,1810055G02Rik
0.029595395552795032,0.06709600840527047,0.05794276400264785,0.025000316871666664,0.17396556852451273,2010107G23Rik
0.0,0.006353597495820757,0.003071823935569285,0.0020733575575,0.014570802809214413,2010109A12Rik
0.016987367422360247,0.25312736637636396,0.07870487497705206,0.049007499038333326,0.07096541260070878,2010300C02Rik
0.0,0.016248836244369628,0.009781407956751986,0.0,0.009253153770821029,2210404O09Rik
0.0,0.0008351930794056187,0.001658342270079435,0.012154799401666666,0.002946724279976373,2300005B03Rik
0.0,0.0036675343091478988,0.011680681941747574,0.0030254599641666665,0.00558239138038984,2310001H17Rik
